kind,leg,kwarg,dtype,test,usd_irs,usd_irs_lt_2y,gbp_irs,eur_irs,sek_irs,nok_irs,chf_irs,cad_irs,cad_irs_le_1y,jpy_irs,aud_irs6,aud_irs3,aud_irs,eur_irs6,eur_irs3,eur_irs1,sek_irs3,nok_irs3,nok_irs6,eurusd_xcs,gbpusd_xcs,eurgbp_xcs,gbpeur_xcs,jpyusd_xcs,eur_zcis,gbp_zcis,usd_zcis,gbp_zcs,sek_iirs,eur_sbs36,nok_sbs36,us_gb,us_gb_tsy,uk_gb,de_gb,fr_gb,nl_gb,it_gb,se_gb,no_gb,ca_gb,us_gbb,se_gbb,gbp_gbi,sek_fra3,eur_fra3,eur_fra6,eur_fra1,nok_fra3,nok_fra6,usd_frn5,usd_stir,usd_stir1,eur_stir,eur_stir1,eur_stir3,gbp_stir
meta,meta,currency,str,TES,usd,usd,gbp,eur,sek,nok,chf,cad,cad,jpy,aud,aud,aud,eur,eur,eur,sek,nok,nok,eur/usd,gbp/usd,eur/gbp,gbp/eur,jpy/usd,eur,gbp,usd,gbp,sek_iirs,eur,nok,usd,usd,gbp,eur,eur,eur,eur,sek,nok,cad,usd,sek,gbp,sek,eur,eur,eur,nok,nok,usd,usd,usd,eur,eur,eur,gbp
index,leg1,index_method,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily,,,,,,,,,,,,,,,daily,,,,,,,,,,,,,
index,leg1,index_fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,leg1,index_base,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,leg1,index_lag,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
index,leg2,index_method,str,,,,,,,,,,,,,,,,,,,,,,,,,,monthly,monthly,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,leg2,index_fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,leg2,index_base,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
index,leg2,index_lag,int,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bond,leg1,settle,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,1,1,1,1,1,1,,,,,,,1,,,,,,
bond,leg1,ex_div,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,1,1,1,5,1,1,0,0,7,,,,,,,1,,,,,,
bond,leg1,calc_mode,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,us_gb,us_gb_tsy,uk_gb,de_gb,fr_gb,nl_gb,it_gb,se_gb,no_gb,ca_gb,us_gbb,se_gbb,ukg,,,,,,,,,,,,,
stir,leg1,bp_value,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,41.67,25,25,25,25
stir,leg1,nominal,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,5000000,1000000,3000000,1000000,1000000
